Timestamp,Analyte Type,Concentration of analyte,OD600,"Wavelength (485,528)"
0,0,1,0.189,7670
0.08333333,0,0.9257120813,0.207,7571
0.1666666633,0,0.8614660137,0.215,7676
0.2499999967,0,0.8053850103,0.222,7717
0.33333333,0,0.7560273469,0.228,7671
0.4166666633,0,0.7122682813,0.235,7635
0.4999999967,0,0.6732181888,0.243,7610
0.58333333,0,0.6381646574,0.253,7459
0.6666666633,0,0.6065307852,0.263,7487
0.7499999967,0,0.5778446537,0.275,7488
0.83333333,0,0.5517166502,0.29,7375
0.9166666633,0,0.5278223915,0.307,7380
0.9999999967,0,0.5058897077,0.327,7324
1.08333333,0,0.4856886058,0.35,7268
1.166666663,0,0.4670234524,0.373,7211
1.249999997,0,0.4497268238,0.397,7051
1.33333333,0,0.4336546252,0.421,7073
1.416666663,0,0.4186821852,0.446,6938
1.499999997,0,0.4047011061,0.468,6890
1.58333333,0,0.3916167045,0.499,6934
1.666666663,0,0.3793459195,0.525,6860
1.749999997,0,0.36781559,0.549,6835
1.83333333,0,0.3569610287,0.572,6778
1.916666663,0,0.3467248351,0.593,6693
1.999999997,0,0.3370559012,0.612,6667
2.08333333,0,0.327908576,0.635,6615
2.166666663,0,0.3192419583,0.658,6599
2.249999997,0,0.3110192974,0.685,6630
2.33333333,0,0.3032074809,0.709,6526
2.416666663,0,0.2957765972,0.734,6484
2.499999997,0,0.2886995591,0.753,6487
2.58333333,0,0.2819517791,0.776,6566
2.666666663,0,0.2755108882,0.8,6397
2.749999997,0,0.2693564924,0.828,6450
2.83333333,0,0.2634699597,0.849,6403
2.916666663,0,0.2578342346,0.878,6371
2.999999997,0,0.2524336751,0.904,6537
3.08333333,0,0.2472539097,0.937,6399
3.166666663,0,0.2422817111,0.954,6402
3.249999997,0,0.2375048853,0.972,6524
3.33333333,0,0.2329121723,0.99,6570
3.416666663,0,0.228493159,1.005,6575
3.499999997,0,0.2242382012,1.021,6665
3.58333333,0,0.2201383536,1.035,6705
3.666666663,0,0.2161853084,1.053,6801
3.749999997,0,0.2123713393,1.071,6752
3.83333333,0,0.2086892515,1.087,6740
3.916666663,0,0.205132337,1.099,6805
3.999999997,0,0.2016943344,1.112,6872
4.08333333,0,0.1983693918,1.126,6896
4.166666663,0,0.1951520348,1.141,6840
4.249999997,0,0.1920371357,1.152,6994
4.33333333,0,0.1890198872,1.162,7066
4.416666663,0,0.1860957774,1.169,7151
4.499999997,0,0.1832605677,1.182,7214
4.58333333,0,0.1805102724,1.192,7212
4.666666663,0,0.1778411403,1.203,7312
4.749999997,0,0.1752496372,1.214,7377
4.83333333,0,0.1727324311,1.22,7371
4.916666663,0,0.1702863776,1.229,7397
4.999999997,0,0.167908507,1.238,7471
5.08333333,0,0.1655960124,1.245,7489
5.166666663,0,0.1633462385,1.249,7526
5.249999997,0,0.1611566719,1.258,7501
5.33333333,0,0.1590249312,1.264,7622
5.416666663,0,0.1569487592,1.266,7716
5.499999997,0,0.1549260141,1.274,7775
5.58333333,0,0.1529546628,1.281,8046
5.666666663,0,0.151032774,1.285,7914
5.749999997,0,0.1491585118,1.293,7973
5.83333333,0,0.1473301298,1.297,7972
5.916666663,0,0.145545966,1.301,8142
5.999999997,0,0.1438044375,1.312,8041
6.08333333,0,0.1421040362,1.317,8129
6.166666663,0,0.1404433239,1.319,8111
6.249999997,0,0.1388209288,1.325,8213
6.33333333,0,0.1372355415,1.331,8308
6.416666663,0,0.1356859116,1.338,8232
6.499999997,0,0.1341708441,1.34,8460
6.58333333,0,0.1326891968,1.343,8337
6.666666663,0,0.1312398772,1.348,8467
6.749999997,0,0.1298218399,1.349,8544
6.83333333,0,0.128434084,1.352,8495
6.916666663,0,0.1270756507,1.357,8460
6.999999997,0,0.1257456213,1.361,8496
7.08333333,0,0.1244431152,1.364,8623
7.166666663,0,0.1231672875,1.37,8463
7.249999997,0,0.1219173277,1.371,8517
7.33333333,0,0.1206924578,1.373,8600
7.416666663,0,0.1194919305,1.38,8579
7.499999997,0,0.118315028,1.382,8600
7.58333333,0,0.1171610604,1.387,8713
7.666666663,0,0.1160293643,1.388,8750
7.749999997,0,0.1149193016,1.392,8730
7.83333333,0,0.1138302585,1.396,8787
7.916666663,0,0.112761644,1.397,8832
7.999999997,0,0.1117128892,1.401,8899
8.08333333,0,0.1106834459,1.406,8980
8.166666663,0,0.1096727862,1.409,8841
8.249999997,0,0.1086804009,1.412,8888
8.33333333,0,0.1077057992,1.416,8968
8.416666663,0,0.1067485077,1.418,9041
8.499999997,0,0.1058080696,1.42,8966
8.58333333,0,0.1048840441,1.422,9090
8.666666663,0,0.1039760056,1.425,9058
8.749999997,0,0.103083543,1.426,9109
8.83333333,0,0.1022062593,1.43,9022
8.916666663,0,0.1013437707,1.431,9080
8.999999997,0,0.1004957063,1.433,9165
9.08333333,0,0.09966170767,1.433,9122
9.166666663,0,0.09884142784,1.435,9180
9.249999997,0,0.09803453132,1.438,9259
9.33333333,0,0.09724069346,1.439,9233
9.416666663,0,0.09645959999,1.443,9199
9.499999997,0,0.09569094664,1.445,9438
9.58333333,0,0.09493443877,1.447,9183
9.666666663,0,0.09418979092,1.446,9349
9.749999997,0,0.09345672655,1.448,9410
9.83333333,0,0.09273497761,1.45,9522
9.916666663,0,0.09202428427,1.45,9500
9.999999997,0,0.09132439459,1.452,9370
10.08333333,0,0.09063506422,1.454,9469
10.16666666,0,0.08995605612,1.455,9409
10.25,0,0.08928714028,1.455,9570
10.33333333,0,0.08862809349,1.455,9505
10.41666666,0,0.08797869905,1.457,9521
10.5,0,0.08733874656,1.458,9535
10.58333333,0,0.0867080317,1.458,9527
10.66666666,0,0.08608635599,1.461,9614
10.75,0,0.08547352658,1.46,9478
10.83333333,0,0.0848693561,1.461,9504
10.91666666,0,0.0842736624,1.461,9617
11,0,0.08368626841,1.462,9632
11.08333333,0,0.08310700195,1.461,9626
11.16666666,0,0.08253569559,1.463,9605
11.25,0,0.08197218644,1.465,9613
11.33333333,0,0.08141631604,1.464,9685
11.41666666,0,0.08086793017,1.466,9732
11.5,0,0.08032687876,1.467,9671
11.58333333,0,0.0797930157,1.467,9731
11.66666666,0,0.07926619876,1.466,9683
11.75,0,0.0787462894,1.468,9966
11.83333333,0,0.07823315272,1.472,9917
11.91666666,0,0.07772665729,1.475,9951
12,0,0.07722667506,1.479,9925
12.08333333,0,0.07673308126,1.48,9699
12.16666666,0,0.07624575428,1.482,9955
12.25,0,0.07576457556,1.482,9808
12.33333333,0,0.07528942954,1.484,9908
12.41666666,0,0.0748202035,1.485,9982
12.5,0,0.07435678755,1.485,9883
12.58333333,0,0.07389907448,1.485,9951
12.66666666,0,0.0734469597,1.485,10026
12.75,0,0.07300034116,1.484,9859
12.83333333,0,0.07255911929,1.483,9964
12.91666666,0,0.07212319689,1.48,9981
13,0,0.07169247909,1.479,9935
13.08333333,0,0.07126687328,1.479,9980
13.16666666,0,0.070846289,1.48,10105
13.25,0,0.07043063795,1.48,9977
13.33333333,0,0.07001983386,1.478,9975
13.41666666,0,0.06961379248,1.478,9913
13.5,0,0.06921243148,1.479,10058
13.58333333,0,0.06881567044,1.479,10029
13.66666666,0,0.06842343074,1.48,10217
13.75,0,0.06803563558,1.478,10096
13.83333333,0,0.06765220985,1.477,9998
13.91666666,0,0.06727308014,1.476,9967
14,0,0.06689817469,1.476,10130
14.08333333,0,0.0665274233,1.476,10125
14.16666666,0,0.06616075734,1.474,10018
14.25,0,0.06579810967,1.472,10156
14.33333333,0,0.06543941461,1.472,10202
14.41666666,0,0.06508460791,1.469,10172
14.5,0,0.06473362671,1.469,10061
14.58333333,0,0.06438640949,1.468,10110
14.66666666,0,0.06404289604,1.464,10184
14.75,0,0.06370302744,1.467,10203
14.83333333,0,0.06336674598,1.465,10278
14.91666666,0,0.06303399521,1.462,10112
15,0,0.06270471981,1.461,10179
15.08333333,0,0.06237886565,1.461,10047
15.16666666,0,0.06205637968,1.46,10231
15.25,0,0.06173720998,1.46,10145
15.33333333,0,0.06142130566,1.458,10244
15.41666666,0,0.06110861688,1.458,10216
15.5,0,0.06079909481,1.457,10293
15.58333333,0,0.0604926916,1.455,10353
15.66666666,0,0.06018936035,1.454,10285
15.75,0,0.0598890551,1.454,10254
15.83333333,0,0.05959173083,1.453,10382
15.91666666,0,0.05929734336,1.45,10239
16,0,0.05900584942,1.448,10281
16.08333333,0,0.05871720655,1.448,10299
16.16666666,0,0.05843137316,1.444,10449
16.25,0,0.05814830842,1.445,10322
16.33333333,0,0.05786797232,1.446,10344
16.41666666,0,0.05759032559,1.442,10289
16.5,0,0.05731532974,1.441,10340
16.58333333,0,0.05704294698,1.442,10447
